idx;t_us;evt;core;prio;task_id;aux
0;265994;3;0;1;0;0
1;266128;2;0;1;0;0
2;266136;1;0;1;1;0
3;266994;3;0;1;1;0
4;267994;3;0;1;1;0
5;268994;3;0;1;1;0
6;269994;3;0;1;1;0
7;270994;3;0;1;1;0
8;271994;3;0;1;1;0
9;272994;3;0;1;1;0
10;273994;3;0;1;1;0
11;274994;3;0;1;1;0
12;275994;3;0;1;1;0
13;276994;3;0;1;1;0
14;277994;3;0;1;1;0
15;278994;3;0;1;1;0
16;279994;3;0;1;1;0
17;280994;3;0;1;1;0
18;281994;3;0;1;1;0
19;282994;3;0;1;1;0
20;283994;3;0;1;1;0
21;284994;3;0;1;1;0
22;285996;3;0;1;1;0
23;286994;3;0;1;1;0
24;287994;3;0;1;1;0
25;288994;3;0;1;1;0
26;289994;3;0;1;1;0
27;290994;3;0;1;1;0
28;291994;3;0;1;1;0
29;292994;3;0;1;1;0
30;293994;3;0;1;1;0
31;294994;3;0;1;1;0
32;295994;3;0;1;1;0
33;296753;2;0;1;1;0
34;296761;1;0;1;0;0
35;296780;2;0;1;0;0
36;296788;1;0;0;0;0
37;296995;3;0;0;0;0
38;297994;3;0;0;0;0
39;298994;3;0;0;0;0
40;299994;3;0;0;0;0
41;300994;3;0;0;0;0
42;301994;3;0;0;0;0
43;302994;3;0;0;0;0
44;303994;3;0;0;0;0
45;304994;3;0;0;0;0
46;305994;3;0;0;0;0
47;306994;3;0;0;0;0
48;307994;3;0;0;0;0
49;308994;3;0;0;0;0
50;309994;3;0;0;0;0
51;310994;3;0;0;0;0
52;311994;3;0;0;0;0
53;312994;3;0;0;0;0
54;313994;3;0;0;0;0
55;314994;3;0;0;0;0
56;315996;3;0;0;0;0
57;316004;2;0;0;0;0
58;316012;1;0;1;0;0
59;316032;2;0;1;0;0
60;316040;1;0;0;0;0
61;316994;3;0;0;0;0
62;317994;3;0;0;0;0
63;318994;3;0;0;0;0
64;319994;3;0;0;0;0
65;320994;3;0;0;0;0
66;321994;3;0;0;0;0
67;322994;3;0;0;0;0
68;323994;3;0;0;0;0
69;324994;3;0;0;0;0
70;325994;3;0;0;0;0
71;326994;3;0;0;0;0
72;327994;3;0;0;0;0
73;328994;3;0;0;0;0
74;329994;3;0;0;0;0
75;330994;3;0;0;0;0
76;331994;3;0;0;0;0
77;332994;3;0;0;0;0
78;333994;3;0;0;0;0
79;334994;3;0;0;0;0
80;335996;3;0;0;0;0
81;336004;2;0;0;0;0
82;336012;1;0;1;0;0
83;336032;2;0;1;0;0
84;336040;1;0;0;0;0
85;336994;3;0;0;0;0
86;337996;3;0;0;0;0
87;338004;2;0;0;0;0
88;338012;1;0;1;1;0
89;338994;3;0;1;1;0
90;339994;3;0;1;1;0
91;340994;3;0;1;1;0
92;341994;3;0;1;1;0
93;342994;3;0;1;1;0
94;343994;3;0;1;1;0
95;344994;3;0;1;1;0
96;345994;3;0;1;1;0
97;346994;3;0;1;1;0
98;347994;3;0;1;1;0
99;348994;3;0;1;1;0
100;349994;3;0;1;1;0
101;350994;3;0;1;1;0
102;351994;3;0;1;1;0
103;352994;3;0;1;1;0
104;353994;3;0;1;1;0
105;354994;3;0;1;1;0
106;355996;3;0;1;1;0
107;356994;3;0;1;1;0
108;357994;3;0;1;1;0
109;358994;3;0;1;1;0
110;359994;3;0;1;1;0
111;360994;3;0;1;1;0
112;361994;3;0;1;1;0
113;362994;3;0;1;1;0
114;363994;3;0;1;1;0
115;364994;3;0;1;1;0
116;365994;3;0;1;1;0
117;366994;3;0;1;1;0
118;367994;3;0;1;1;0
119;368631;2;0;1;1;0
120;368639;1;0;1;0;0
121;368658;2;0;1;0;0
122;368666;1;0;0;0;0
123;368994;3;0;0;0;0
124;369994;3;0;0;0;0
125;370994;3;0;0;0;0
126;371994;3;0;0;0;0
127;372994;3;0;0;0;0
128;373994;3;0;0;0;0
129;374994;3;0;0;0;0
130;375994;3;0;0;0;0
131;376994;3;0;0;0;0
132;377994;3;0;0;0;0
133;378994;3;0;0;0;0
134;379994;3;0;0;0;0
135;380994;3;0;0;0;0
136;381994;3;0;0;0;0
137;382994;3;0;0;0;0
138;383994;3;0;0;0;0
139;384994;3;0;0;0;0
140;385994;3;0;0;0;0
141;386994;3;0;0;0;0
142;387996;3;0;0;0;0
143;388004;2;0;0;0;0
144;388012;1;0;1;0;0
145;388032;2;0;1;0;0
146;388040;1;0;0;0;0
147;388994;3;0;0;0;0
148;389994;3;0;0;0;0
149;390994;3;0;0;0;0
150;391994;3;0;0;0;0
151;392994;3;0;0;0;0
152;393994;3;0;0;0;0
153;394994;3;0;0;0;0
154;395994;3;0;0;0;0
155;396994;3;0;0;0;0
156;397994;3;0;0;0;0
157;398994;3;0;0;0;0
158;399994;3;0;0;0;0
159;400994;3;0;0;0;0
160;401994;3;0;0;0;0
161;402994;3;0;0;0;0
162;403994;3;0;0;0;0
163;404994;3;0;0;0;0
164;405994;3;0;0;0;0
165;406994;3;0;0;0;0
166;407996;3;0;0;0;0
167;408004;2;0;0;0;0
168;408012;1;0;1;0;0
169;408032;2;0;1;0;0
170;408040;1;0;0;0;0
171;408994;3;0;0;0;0
172;409994;3;0;0;0;0
173;410994;3;0;0;0;0
174;411994;3;0;0;0;0
175;412994;3;0;0;0;0
176;413994;3;0;0;0;0
177;414994;3;0;0;0;0
178;415994;3;0;0;0;0
179;416994;3;0;0;0;0
180;417994;3;0;0;0;0
181;418994;3;0;0;0;0
182;419994;3;0;0;0;0
183;420994;3;0;0;0;0
184;421994;3;0;0;0;0
185;422994;3;0;0;0;0
186;423994;3;0;0;0;0
187;424994;3;0;0;0;0
188;425994;3;0;0;0;0
189;426994;3;0;0;0;0
190;427996;3;0;0;0;0
191;428004;2;0;0;0;0
192;428012;1;0;1;0;0
193;428032;2;0;1;0;0
194;428040;1;0;0;0;0
195;428994;3;0;0;0;0
196;429994;3;0;0;0;0
197;430994;3;0;0;0;0
198;431994;3;0;0;0;0
199;432994;3;0;0;0;0
200;433994;3;0;0;0;0
201;434994;3;0;0;0;0
202;435994;3;0;0;0;0
203;436994;3;0;0;0;0
204;437996;3;0;0;0;0
205;438004;2;0;0;0;0
206;438012;1;0;1;1;0
207;438994;3;0;1;1;0
208;439994;3;0;1;1;0
209;440994;3;0;1;1;0
210;441994;3;0;1;1;0
211;442994;3;0;1;1;0
212;443994;3;0;1;1;0
213;444994;3;0;1;1;0
214;445994;3;0;1;1;0
215;446994;3;0;1;1;0
216;447996;3;0;1;1;0
217;448994;3;0;1;1;0
218;449994;3;0;1;1;0
219;450994;3;0;1;1;0
220;451994;3;0;1;1;0
221;452994;3;0;1;1;0
222;453994;3;0;1;1;0
223;454994;3;0;1;1;0
224;455994;3;0;1;1;0
