idx,t_us,evt,core,prio,task_id,aux,evt_name
0,49689200,2,0,1,0,0,SW_OUT
1,49689209,1,0,0,0,0,SW_IN
2,49689970,3,0,0,0,0,TICK
3,49690970,3,0,0,0,0,TICK
4,49691972,3,0,0,0,0,TICK
5,49691980,2,0,0,0,0,SW_OUT
6,49691989,1,0,1,1,0,SW_IN
7,49692969,3,0,1,1,0,TICK
8,49693972,3,0,1,1,0,TICK
9,49693979,2,0,1,1,0,SW_OUT
10,49693987,1,0,1,2,0,SW_IN
11,49694969,3,0,1,2,0,TICK
12,49694977,2,0,1,2,0,SW_OUT
13,49694985,1,0,1,1,0,SW_IN
14,49695969,3,0,1,1,0,TICK
15,49695977,2,0,1,1,0,SW_OUT
16,49695984,1,0,1,2,0,SW_IN
17,49696972,3,0,1,2,0,TICK
18,49696979,2,0,1,2,0,SW_OUT
19,49696987,1,0,1,1,0,SW_IN
20,49697969,3,0,1,1,0,TICK
21,49697977,2,0,1,1,0,SW_OUT
22,49697984,1,0,1,3,0,SW_IN
23,49698969,3,0,1,3,0,TICK
24,49698977,2,0,1,3,0,SW_OUT
25,49698985,1,0,1,2,0,SW_IN
26,49699969,3,0,1,2,0,TICK
27,49699977,2,0,1,2,0,SW_OUT
28,49699985,1,0,1,1,0,SW_IN
29,49700972,3,0,1,1,0,TICK
30,49700979,2,0,1,1,0,SW_OUT
31,49700987,1,0,1,3,0,SW_IN
32,49701969,3,0,1,3,0,TICK
33,49701977,2,0,1,3,0,SW_OUT
34,49701985,1,0,1,2,0,SW_IN
35,49702969,3,0,1,2,0,TICK
36,49702977,2,0,1,2,0,SW_OUT
37,49702985,1,0,1,4,0,SW_IN
38,49703969,3,0,1,4,0,TICK
39,49703977,2,0,1,4,0,SW_OUT
40,49703986,1,0,1,1,0,SW_IN
41,49704969,3,0,1,1,0,TICK
42,49704977,2,0,1,1,0,SW_OUT
43,49704984,1,0,1,3,0,SW_IN
44,49705972,3,0,1,3,0,TICK
45,49705979,2,0,1,3,0,SW_OUT
46,49705987,1,0,1,2,0,SW_IN
47,49706969,3,0,1,2,0,TICK
48,49706977,2,0,1,2,0,SW_OUT
49,49706985,1,0,1,4,0,SW_IN
50,49707969,3,0,1,4,0,TICK
51,49707977,2,0,1,4,0,SW_OUT
52,49707986,1,0,1,1,0,SW_IN
53,49708969,3,0,1,1,0,TICK
54,49708977,2,0,1,1,0,SW_OUT
55,49708984,1,0,1,5,0,SW_IN
56,49709969,3,0,1,5,0,TICK
57,49709978,2,0,1,5,0,SW_OUT
58,49709986,1,0,1,3,0,SW_IN
59,49710969,3,0,1,3,0,TICK
60,49710977,2,0,1,3,0,SW_OUT
61,49710985,1,0,1,2,0,SW_IN
62,49711969,3,0,1,2,0,TICK
63,49711977,2,0,1,2,0,SW_OUT
64,49711985,1,0,1,4,0,SW_IN
65,49712969,3,0,1,4,0,TICK
66,49712977,2,0,1,4,0,SW_OUT
67,49712986,1,0,1,1,0,SW_IN
68,49713969,3,0,1,1,0,TICK
69,49713977,2,0,1,1,0,SW_OUT
70,49713984,1,0,1,5,0,SW_IN
71,49714969,3,0,1,5,0,TICK
72,49714977,2,0,1,5,0,SW_OUT
73,49714986,1,0,1,3,0,SW_IN
74,49715969,3,0,1,3,0,TICK
75,49715977,2,0,1,3,0,SW_OUT
76,49715985,1,0,1,2,0,SW_IN
77,49716969,3,0,1,2,0,TICK
78,49716977,2,0,1,2,0,SW_OUT
79,49716985,1,0,1,4,0,SW_IN
80,49717969,3,0,1,4,0,TICK
81,49717977,2,0,1,4,0,SW_OUT
82,49717986,1,0,1,1,0,SW_IN
83,49718639,2,0,1,1,0,SW_OUT
84,49718647,1,0,1,5,0,SW_IN
85,49718969,3,0,1,5,0,TICK
86,49718978,2,0,1,5,0,SW_OUT
87,49718986,1,0,1,3,0,SW_IN
88,49719969,3,0,1,3,0,TICK
89,49719977,2,0,1,3,0,SW_OUT
90,49719985,1,0,1,2,0,SW_IN
91,49720969,3,0,1,2,0,TICK
92,49720977,2,0,1,2,0,SW_OUT
93,49720985,1,0,1,4,0,SW_IN
94,49721969,3,0,1,4,0,TICK
95,49721977,2,0,1,4,0,SW_OUT
96,49721986,1,0,1,5,0,SW_IN
97,49722969,3,0,1,5,0,TICK
98,49722977,2,0,1,5,0,SW_OUT
99,49722986,1,0,1,3,0,SW_IN
100,49723969,3,0,1,3,0,TICK
101,49723977,2,0,1,3,0,SW_OUT
102,49723985,1,0,1,2,0,SW_IN
103,49724653,2,0,1,2,0,SW_OUT
104,49724661,1,0,1,4,0,SW_IN
105,49724969,3,0,1,4,0,TICK
106,49724977,2,0,1,4,0,SW_OUT
107,49724986,1,0,1,5,0,SW_IN
108,49725969,3,0,1,5,0,TICK
109,49725978,2,0,1,5,0,SW_OUT
110,49725986,1,0,1,3,0,SW_IN
111,49726969,3,0,1,3,0,TICK
112,49726977,2,0,1,3,0,SW_OUT
113,49726985,1,0,1,4,0,SW_IN
114,49727969,3,0,1,4,0,TICK
115,49727977,2,0,1,4,0,SW_OUT
